rank,word
1,না
2,করে
3,এবং
4,00
5,ও
6,এই
7,থেকে
8,আর
9,জন্য
10,তার
11,হয়
12,করা
13,এর
14,একটি
15,যে
16,আমি
17,করতে
18,0000
19,হবে
20,এ
21,নিয়ে
22,সাথে
23,আমার
24,কি
25,তিনি
26,এক
27,হয়েছে
28,কিছু
29,আমাদের
30,হয়ে
31,কোন
32,ছিল
33,আমরা
34,কিন্তু
35,তাদের
36,মধ্যে
37,কথা
38,তারা
39,যায়
40,অনেক
41,যা
42,সময়
43,সে
44,হচ্ছে
45,একটা
46,করেন
47,দিয়ে
48,করার
49,বা
50,আছে
51,পর
52,সব
53,একজন
54,মনে
55,000
56,এখন
57,নয়
58,পারে
59,নেই
60,শুরু
61,কাজ
62,আপনার
63,কাছে
64,বলে
65,যদি
66,তা
67,বছর
68,হতে
69,এটা
70,সেই
71,তাকে
72,রয়েছে
73,আপনি
74,হিসেবে
75,করেছে
76,তবে
77,নতুন
78,আগে
79,ভালো
80,প্রথম
81,যখন
82,করেছেন
83,নাম
84,এমন
85,কে
86,তাই
87,তো
88,দিন
89,দেখা
90,বাংলাদেশ
91,কেউ
92,গেছে
93,থাকে
94,এটি
95,বেশি
96,কেন
97,জাতীয়
98,বিভিন্ন
99,শেষ
100,বড়
101,মানুষ
102,পর্যন্ত
103,খুব
104,টাকা
105,তুমি
106,জন
107,দিতে
108,দিকে
109,দুই
110,সরকার
111,আজ
112,করছে
113,করবে
114,করি
115,মতো
116,যাবে
117,এখানে
118,পরে
119,মাধ্যমে
120,উপর
121,আবার
122,ব্যবহার
123,মত
124,১
125,প্রতি
126,হল
127,কারণ
128,তখন
129,তোমার
130,দেশের
131,ধরে
132,প্রায়
133,কোনো
134,নিজের
135,বিরুদ্ধে
136,সঙ্গে
137,২
138,তাঁর
139,বন্ধ
140,শুধু
141,জীবন
142,তাহলে
143,পুলিশ
144,প্রধান
145,হলো
146,কারণে
147,তৈরি
148,বাংলাদেশের
149,মা
150,আরো
151,যাচ্ছে
152,আরও
153,যার
154,চাই
155,দেয়
156,পাওয়া
157,যারা
158,সালে
159,হলে
160,অংশ
161,চলে
162,ছিলেন
163,দেখতে
164,বলা
165,সালের
166,মানুষের
167,সবচেয়ে
168,সবাই
169,আমাকে
170,দল
171,সেখানে
172,করুন
173,গত
174,ঠিক
175,দলের
176,পড়ে
177,প্রকাশ
178,হাজার
179,অন্য
180,ঢাকা
181,বিশেষ
182,বেশ
183,যেন
184,হয়েছিল
185,অনুষ্ঠিত
186,দেখে
187,সকল
188,ছবি
189,দেওয়া
190,নামে
191,৩
192,একই
193,ফলে
194,ভাল
195,যেতে
196,র
197,চেষ্টা
198,নারী
199,নির্বাচন
200,বছরের
201,শিক্ষা
202,৫
203,আন্তর্জাতিক
204,সরকারের
205,সামনে
206,আল
207,কী
208,মাঝে
209,সাধারণ
210,হওয়ার
211,ছোট
212,জেলা
213,দেশে
214,সম্পর্কে
215,হাতে
216,করবেন
217,ছাড়া
218,তথ্য
219,দেয়া
220,বাংলা
221,কম
222,দেখুন
223,পারেন
224,যেখানে
225,যেমন
226,সদস্য
227,উত্তর
228,ঘোষণা
229,টি
230,তিন
231,ধরনের
232,নিতে
233,ভারতের
234,মৃত্যু
235,গিয়ে
236,দিয়েছে
237,ভাই
238,ভিডিও
239,খবর
240,৪
241,একটু
242,চেয়ে
243,ভারত
244,অভিযোগ
245,এসে
246,ক্ষেত্রে
247,দেশ
248,নাকি
249,বলতে
250,বিষয়ে
251,ব্যবস্থা
252,মাত্র
253,সমস্যা
254,আসে
255,থাকবে
256,বিশ্বাস
257,ব্যাপারে
258,ওই
259,করছেন
260,কিভাবে
261,চায়
262,তুলে
263,দেন
264,প্রধানমন্ত্রী
265,ফিরে
266,বলেছেন
267,বলেন
268,সময়ে
269,সুন্দর
270,সুযোগ
271,অন্যান্য
272,ছেলে
273,থাকা
274,ভাবে
275,যাওয়া
276,রাজনৈতিক
277,সহ
278,সেটা
279,অথবা
280,এখনো
281,এবার
282,কেমন
283,খারাপ
284,ধন্যবাদ
285,প্রয়োজন
286,সাহায্য
287,হাত
288,আশা
289,উচিত
290,গ্রহণ
291,দক্ষিণ
292,প্রদান
293,মানে
294,মেয়ে
295,৬
296,ইসলাম
297,এতে
298,এসব
299,করলে
300,নিশ্চিত
301,পারি
302,বের
303,যান
304,সরকারি
305,হওয়া
306,ই
307,করছি
308,ঘটনা
309,থাকতে
310,পালন
311,বন্ধু
312,বাবা
313,ভারতীয়
314,শেখ
315,জানতে
316,দাবি
317,দু
318,নেতা
319,মারা
320,হয়নি
321,অর্থ
322,আইন
323,এত
324,খান
325,নির্বাচনে
326,পরিবর্তন
327,প্রশ্ন
328,বিশ্বের
329,সংবাদ
330,00টি
331,এসেছে
332,কখনো
333,কোটি
334,দ্বিতীয়
335,ব্যক্তি
336,ভুল
337,যোগ
338,লোক
339,সবার
340,the
341,অনুযায়ী
342,আপনাকে
343,আসছে
344,আসলে
345,বাইরে
346,যাওয়ার
347,রাতে
348,সংখ্যা
349,স্থানীয়
350,হত্যা
351,হোক
352,৭
353,গুরুত্বপূর্ণ
354,দরকার
355,দ্বারা
356,নিহত
357,পানি
358,বর্তমান
359,ভাষা
360,মার্কিন
361,স্বাধীনতা
362,অবস্থান
363,কাজে
364,নিজেকে
365,বিশ্ব
366,রাখা
367,সম্ভব
368,সিদ্ধান্ত
369,৮
370,উপজেলার
371,এলাকায়
372,কর
373,গেল
374,প্রকাশিত
375,বাড়ি
376,যদিও
377,যুদ্ধ
378,রেখে
379,a
380,আছি
381,আলোচনা
382,কোথায়
383,চান
384,ছেড়ে
385,পরিবারের
386,বাস
387,মার্চ
388,যাতে
389,শহরের
390,হন
391,অন্যতম
392,আছেন
393,জানি
394,থাকার
395,নাই
396,বসে
397,রাখতে
398,এগিয়ে
399,কত
400,করেছি
401,করেছিল
402,তোমাকে
403,দ্রুত
404,পারবে
405,পুলিশের
406,পেতে
407,বাংলাদেশে
408,ভয়
409,মুসলিম
410,সারা
411,সৃষ্টি
412,আগস্ট
413,চলছে
414,চিন্তা
415,বিয়ে
416,বিষয়
417,মাসে
418,মূল
419,লেখা
420,সকাল
421,স্কুল
422,আগামী
423,এরপর
424,ঐ
425,কারন
426,গান
427,জানা
428,ফোন
429,মুক্তি
430,সাবেক
431,হয়তো
432,হিসাবে
433,খাবার
434,খেলা
435,ছাত্র
436,দুটি
437,পক্ষে
438,বর্তমানে
439,বার
440,ভোট
441,মাস
442,সংসদ
443,সেরা
444,ওপর
445,কঠিন
446,গেলে
447,গ্রেফতার
448,দিনের
449,নি
450,পাকিস্তান
451,যিনি
452,সময়ের
453,সামাজিক
454,সেপ্টেম্বর
455,৯
456,অবশ্যই
457,উল্লেখ
458,একে
459,কোনও
460,গুলি
461,ঘটে
462,ছিলো
463,জনপ্রিয়
464,জীবনের
465,দিয়েছেন
466,পরিবার
467,পুরো
468,প্রাথমিক
469,বই
470,বিশ্ববিদ্যালয়ের
471,লাভ
472,শিশু
473,স্ত্রী
474,of
475,অবস্থা
476,আহত
477,উন্নয়ন
478,এখনও
479,এপ্রিল
480,কলেজ
481,কাছ
482,খুবই
483,গল্প
484,চালু
485,পথ
486,পূর্ব
487,বলছে
488,বিরোধী
489,বিস্তারিত
490,বুঝতে
491,মৃত্যুর
492,শহর
493,আপনাদের
494,উপজেলা
495,কয়েক
496,কাজের
497,কিছুই
498,কেন্দ্র
499,ঘটনায়
500,চার
501,তে
502,দায়িত্ব
503,নিজেদের
504,ফুটবল
505,রহমান
506,রাত
507,শিক্ষক
508,আপনারা
509,আসা
510,কিনা
511,গাড়ি
512,জন্যে
513,থেকেই
514,দেবে
515,নামের
516,পায়
517,পারবেন
518,যুক্ত
519,যোগাযোগ
520,লাখ
521,সবাইকে
522,হলেও
523,আলী
524,এমনকি
525,কাউকে
526,কারো
527,কেবল
528,গড়ে
529,পরিচিত
530,পরীক্ষা
531,ফেলে
532,বিষয়টি
533,বেশী
534,শেয়ার
535,হয়েছেন
536,হামলা
537,অবস্থায়
538,আগের
539,একবার
540,কয়েকটি
541,খুঁজে
542,জুলাই
543,তারপর
544,পথে
545,পাশাপাশি
546,মুখে
547,মে
548,রক্ষা
549,সম্পর্ক
550,অধিকার
551,উদ্ধার
552,একমাত্র
553,চোখ
554,দেওয়ার
555,ধারণা
556,পাকিস্তানের
557,প্রতিষ্ঠান
558,মুক্ত
559,সহজ
560,এদের
561,এলাকা
562,ক্রিকেট
563,ক্ষমতা
564,খুন
565,থাকেন
566,দিনে
567,দেখি
568,ভাষায়
569,মধ্য
570,মহিলা
571,মামলা
572,রায়
573,লক্ষ
574,লাগে
575,স্বাস্থ্য
576,হারিয়ে
577,আহমেদ
578,উপায়
579,কেন্দ্রীয়
580,জয়
581,তারিখে
582,দিচ্ছে
583,নিরাপত্তা
584,পা
585,পাশে
586,বাড়িতে
587,বিএনপি
588,বিচার
589,ভুলে
590,মুখ
591,মোবাইল
592,আন্দোলন
593,আসবে
594,উচ্চ
595,ঘরে
596,তোর
597,ধরা
598,পেয়ে
599,প্রেসিডেন্ট
600,বিক্রি
601,শক্তি
602,সঠিক
603,সমস্ত
604,সাংবাদিক
605,সৌদি
606,অফ
607,আসল
608,উঠে
609,উপরে
610,এদিকে
611,জন্ম
612,তাতে
613,নেওয়া
614,পছন্দ
615,পরিকল্পনা
616,পান
617,পুরস্কার
618,পৃথিবীর
619,মাথা
620,রাষ্ট্রপতি
621,লক্ষ্য
622,শব্দ
623,সত্যি
624,আটক
625,আলাদা
626,ইতিহাস
627,এলাকার
628,চট্টগ্রাম
629,জেলার
630,টা
631,দেয়ার
632,নামক
633,নিজস্ব
634,পরিণত
635,পাঁচ
636,ফেসবুক
637,বিভাগের
638,বিমান
639,বৃদ্ধি
640,মন্ত্রী
641,যাই
642,রাজ্যের
643,শহরে
644,শিকার
645,শেষে
646,অক্টোবর
647,অব
648,আসতে
649,জায়গা
650,তুই
651,থাকলে
652,নির্দেশ
653,নেয়
654,পরবর্তী
655,পরিচালক
656,প্রতিটি
657,ভাগ
658,ভারতে
659,যুক্তরাষ্ট্রের
660,যৌন
661,লেখক
662,শতাংশ
663,শুধুমাত্র
664,সংস্থা
665,সদর
666,সভাপতি
667,স্থান
668,to
669,অপেক্ষা
670,আওয়ামী
671,আগেই
672,ইউনিয়নের
673,করেছিলেন
674,দাম
675,পাওয়ার
676,ফেব্রুয়ারি
677,বছরে
678,বলার
679,বিএনপির
680,বিশ্ববিদ্যালয়
681,মোহাম্মদ
682,লীগ
683,স্থানে
684,জীবনে
685,জুন
686,দিক
687,দিবস
688,দীর্ঘ
689,নিউজ
690,নির্বাচিত
691,মন
692,মায়ের
693,রাজ্য
694,শুভ
695,সড়ক
696,সিটি
697,অর্জন
698,আয়োজন
699,ইউনিয়ন
700,এটাই
701,এম
702,পুরুষ
703,প্রার্থী
704,বদলে
705,ব্যাপক
706,মতে
707,মাথায়
708,রাখার
709,রাস্তা
710,সত্য
711,সম্পাদক
712,সামরিক
713,হতো
714,অনলাইন
715,এরা
716,করব
717,কার্যক্রম
718,গ্রামে
719,জানেন
720,জায়গায়
721,দূরে
722,নভেম্বর
723,নেয়া
724,প্রথমে
725,প্রমাণ
726,প্রিয়
727,লড়াই
728,সরাসরি
729,সেবা
730,অনুষ্ঠান
731,কিংবা
732,জানে
733,টাকার
734,তাদেরকে
735,নষ্ট
736,নিচে
737,নির্বাচনের
738,পাবেন
739,পেয়েছে
740,বাজার
741,বাহিনী
742,মিথ্যা
743,যাদের
744,by
745,in
746,অস্ত্র
747,আক্রান্ত
748,আয়
749,ইসলামী
750,কখনও
751,করলাম
752,করো
753,তোমরা
754,দেখার
755,নিয়ন্ত্রণ
756,নির্মাণ
757,পড়েছে
758,পরিচয়
759,পরিমাণ
760,পাবে
761,প্রভাব
762,বয়স
763,বল
764,ব্যক্তিগত
765,ভূমিকা
766,মানুষকে
767,মাসের
768,রাজধানী
769,লীগের
770,সিলেট
771,স্বপ্ন
772,হলেন
773,অনুসারে
774,আঘাত
775,আজকে
776,আসার
777,কষ্ট
778,কালো
779,ধ্বংস
780,নারীদের
781,প্রযুক্তি
782,বাদ
783,বিদ্যুৎ
784,বিপক্ষে
785,বিশাল
786,যথেষ্ট
787,রকম
788,শান্তি
789,সন্তান
790,সমর্থন
791,সর্বোচ্চ
792,অবস্থিত
793,আন্দোলনের
794,আরব
795,উৎসব
796,এতো
797,কর্তৃক
798,চৌধুরী
799,জানিয়েছেন
800,ডলার
801,তাঁদের
802,তালিকা
803,তৈরী
804,ধর্ম
805,প্রতিদিন
806,প্রবেশ
807,প্রস্তাব
808,বলেছে
809,বিক্ষোভ
810,বিষয়ক
811,ব্যাংক
812,মজা
813,মিনিট
814,রাজা
815,সুবিধা
816,and
817,অন্তত
818,আক্রমণ
