bengali,roman,english,category,pos,example,issue,note
রাত,rat,night,time,noun,রাতে তারা দেখা যায়।,exact_duplicate,
রাত,rat,night,time,noun,রাতে তারা দেখা যায়।,exact_duplicate,
আবার,abar,again,adverbs,adverb,তুমি আবার এসো। (tumi abar esho — Come again.),exact_duplicate,
আবার,abar,again,adverbs,adverb,তুমি আবার এসো। (tumi abar esho — Come again.),exact_duplicate,
ভেতরে,bhetore,inside,adjectives,adjective,বাড়ির ভেতরে যাও। (barir bhetore jao — Go inside the house.),ambiguous_reverse_translation_same_english,english_key=inside
ভিতরে,bhitore,inside,grammar,postposition,ঘরের ভিতরে আসো। (ghorer bhitore esho — Come inside the room.),ambiguous_reverse_translation_same_english,english_key=inside
সংবাদ,shongbad,news,society,noun,সকালের সংবাদ দেখেছ? (shokaler shongbad dekhecho — Did you watch the morning news?),ambiguous_reverse_translation_same_english,english_key=news
খবর,khobor,news,society,noun,ভালো খবর আছে। (bhalo khobor achhe — There is good news.),ambiguous_reverse_translation_same_english,english_key=news
লবণ,lobon,salt,food,noun,তরকারিতে লবণ কম হয়েছে। (torkarite lobon kom hoyeche — The curry has too little salt.),ambiguous_reverse_translation_same_english,english_key=salt
নুন,nun,salt,food,noun,রান্নায় নুন বেশি হয়ে গেছে। (rannay nun beshi hoye geche — Too much salt went into the cooking.),ambiguous_reverse_translation_same_english,english_key=salt
রুপোলি,rupoli,silver,colors,adjective,তার রুপোলি চুড়ি আছে। (tar rupoli churi achhe — She has a silver bracelet.),ambiguous_reverse_translation_same_english,english_key=silver
রুপা,rupa,silver,abstract,noun,রুপার চুড়ি সুন্দর। (rupar churi shundor — The silver bangle is beautiful.),ambiguous_reverse_translation_same_english,english_key=silver
ধীরে ধীরে,dhire dhire,slowly,adverbs,adverb,ধীরে ধীরে হাঁটো। (dhire dhire hato — Walk slowly.),ambiguous_reverse_translation_same_english,english_key=slowly
ধীরে,dhire,slowly,adverbs,adverb,ধীরে ধীরে সুস্থ হচ্ছে। (dhire dhire shushto hochhhe — She is recovering slowly.),ambiguous_reverse_translation_same_english,english_key=slowly
এখনো,ekhono,still / yet,adverbs,adverb,সে এখনো আসেনি। (she ekhono asheni — She has not come yet.),ambiguous_reverse_translation_same_english,english_key=still / yet
তবু,tobu,still / yet,adverbs,adverb,"অসুস্থ, তবু কাজে গেল। (oshusto, tobu kaje gelo — Sick, yet he went to work.)",ambiguous_reverse_translation_same_english,english_key=still / yet
জল,jol,water,food,noun,এক গ্লাস জল দাও। (ek glas jol dao — Give me a glass of water.),ambiguous_reverse_translation_same_english,english_key=water
পানি,pani,water,food,noun,পানি ছাড়া বাঁচা যায় না। (pani chhara bacha jay na — One cannot survive without water.),ambiguous_reverse_translation_same_english,english_key=water
কখন,kokhon,when,pronouns,pronoun,তুমি কখন আসবে? (tumi kokhon ashbe — When will you come?),ambiguous_reverse_translation_same_english,english_key=when
যখন,jokhon,when,grammar,conjunction,"যখন ডাকবে, আসবো। (jokhon dakbe, ashbo — When you call, I will come.)",ambiguous_reverse_translation_same_english,english_key=when
সঙ্গে,shonge,with,grammar,postposition,আমি তোমার সঙ্গে যাবো। (ami tomar shonge jabo — I will go with you.),ambiguous_reverse_translation_same_english,english_key=with
সাথে,shathe,with,grammar,postposition,বন্ধুর সাথে বেড়াতে গেলাম। (bondhur shathe beraate gelam — I went out with a friend.),ambiguous_reverse_translation_same_english,english_key=with
করা,kora,to do / to make,verbs,verb,তুমি কী করা? (tumi ki kora — What are you doing?),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
যাওয়া,jaowa,to go,verbs,verb,আমি বাজারে যাওয়া। (ami bajare jaoa — I am going to the market.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
আসা,asha,to come,verbs,verb,সে আমার বাসায় আসা। (she amar bashay asha — She came to my house.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
নেওয়া,neowa,to take,verbs,verb,সে বইটা নেওয়া। (she boita neoa — She took the book.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
খাওয়া,khaowa,to eat,verbs,verb,আমি ভাত খাওয়া। (ami bhat khaoa — I am eating rice.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
পড়া,pora,to read / to study / to fall,verbs,verb,সে বই পড়া। (she boi pora — She is reading a book.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
লেখা,lekha,to write,verbs,verb,আমি চিঠি লেখা। (ami chithi lekha — I am writing a letter.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
দেখা,dekha,to see / to look,verbs,verb,আমি তোমাকে দেখা। (ami tomake dekha — I see you.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
জানা,jana,to know,verbs,verb,তুমি কি এটা জানা? (tumi ki eta jana — Do you know this?),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
বোঝা,bojha,to understand,verbs,verb,আমি ব্যাপারটা বোঝা। (ami byapartita bojha — I understand the matter.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
চাওয়া,chaowa,to want / to desire,verbs,verb,তুমি কী চাওয়া? (tumi ki chaoa — What do you want?),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
থাকা,thaka,to stay / to live / to exist,verbs,verb,সে ঢাকায় থাকা। (she dhakay thaka — She lives in Dhaka.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
শোওয়া,showa,to sleep / to lie down,verbs,verb,সে বিছানায় শোওয়া। (she bichhhanay showa — She is lying on the bed.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
দৌড়ানো,dourano,to run,verbs,verb,সে মাঠে দৌড়ানো। (she mathe dourano — He is running in the field.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
গাওয়া,gaowa,to sing,verbs,verb,সে মিষ্টি সুরে গাওয়া। (she mishti shure gaowa — She sings in a sweet tune.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
নাচা,nacha,to dance,verbs,verb,সে ভালো নাচা। (she bhalo nacha — She dances well.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
হাসা,hasha,to laugh / to smile,verbs,verb,সে সবসময় হাসা। (she shobshomoy hasha — She always laughs.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
পছন্দ করা,pochhondo kora,to like,verbs,verb,আমি বাংলা গান পছন্দ করা। (ami bangla gan pochhondo kora — I like Bengali songs.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
কেনা,kena,to buy,verbs,verb,সে নতুন জামা কেনা। (she notun jama kena — She bought a new shirt.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
পারা,para,can / to be able to,verbs,verb,তুমি কি সাঁতার পারা? (tumi ki shatar para — Can you swim?),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
মনে করা,mone kora,to remember / to think,verbs,verb,আমি তোমাকে মনে করা। (ami tomake mone kora — I think of you.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
কাজ করা,kaj kora,to work,verbs,verb,সে অফিসে কাজ করা। (she ofishe kaj kora — She works at the office.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
শেখানো,shekhano,to teach,verbs,verb,সে আমাকে রান্না শেখানো। (she amake ranna shekhano — She taught me cooking.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
বিশ্বাস করা,bishshash kora,to believe / to trust,verbs,verb,আমি তোমাকে বিশ্বাস করা। (ami tomake bishbash kora — I believe you.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
বাঁচা,bacha,to live / to survive,verbs,verb,সে দুর্ঘটনায় বাঁচা। (she durghotanay bancha — She survived the accident.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
জন্মানো,jonmano,to be born,verbs,verb,সে ঢাকায় জন্মানো। (she dhakay jonmano — She was born in Dhaka.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
বড় হওয়া,boro howa,to grow up,verbs,verb,সে গ্রামে বড় হওয়া। (she grame boro howa — She grew up in the village.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
খোঁজা,khoja,to look for / to search,verbs,verb,সে চাকরি খোঁজা। (she chakri khoja — She is looking for a job.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
চেনা,chena,to recognize / to know (a person),verbs,verb,তুমি কি ওকে চেনা? (tumi ki oke chena — Do you recognize him?),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
জিজ্ঞেস করা,jiggesh kora,to ask (a question),verbs,verb,সে আমাকে জিজ্ঞেস করা। (she amake jiggesh kora — She asked me.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
অপেক্ষা করা,opekkha kora,to wait,verbs,verb,আমি তোমার জন্য অপেক্ষা করা। (ami tomar jonno opekkha kora — I am waiting for you.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
পৌঁছানো,pouchhano,to arrive / to reach,verbs,verb,সে ঠিক সময়ে পৌঁছানো। (she thik shomoye pouchhano — She arrived on time.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
বসবাস করা,boshobash kora,to reside,verbs,verb,আমরা ঢাকায় বসবাস করা। (amra dhakay boshobash kora — We reside in Dhaka.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
প্রার্থনা করা,prarthona kora,to pray,verbs,verb,সে প্রতিদিন প্রার্থনা করা। (she protidin prarthona kora — She prays every day.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
পড়া,pora,to fall,verbs,verb,সে বই পড়া। (she boi pora — She is reading a book.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
রাজি হওয়া,raji howa,to agree,verbs,verb,সে প্রস্তাবে রাজি হওয়া। (she prostabe raji howa — She agreed to the proposal.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
প্রতিজ্ঞা করা,protigga kora,to promise,verbs,verb,সে কখনো মিথ্যা না বলার প্রতিজ্ঞা করা। (she kokhono mithya na bolar protigga kora — She promised to never lie.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
ঢালা,dhala,to pour,verbs,verb,গ্লাসে পানি ঢালা। (glass-e pani dhala — Pouring water into the glass.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
মেশা,mesha,to mix,verbs,verb,সে সবার সাথে মেশা। (she shobar shathe mesha — She mixes with everyone.),verb_example_looks_unconjugated,Example sentence ends with dictionary form; likely needs conjugation (esp. with pronoun subject).
দাদু,dadu,paternal grandfather,family,noun,দাদু গল্প বলতে ভালোবাসেন। (dadu golpo bolte bhalobashon — Grandfather loves to tell stories.),possible_typo,bhalobashon: Likely should be 'bhalobashen' for ভালোবাসেন
মাসি,mashi,maternal aunt (mother's sister),family,noun,মাসি আমাকে খুব ভালোবাসেন। (mashi amake khub bhalobashon — Maternal aunt loves me very much.),possible_typo,bhalobashon: Likely should be 'bhalobashen' for ভালোবাসেন
পিঠ,pith,back,body,noun,পিঠে অনেক ব্যথা হচ্ছে। (pithe onek batha hochhhe — My back is hurting a lot.),possible_typo,hochhhe: Likely typo; consider 'hocche' / 'hochchhe' for হচ্ছে
চিন্তা,chinta,worry / thought,emotions,noun,তোমার জন্য চিন্তা হচ্ছে। (tomar jonno chinta hochhhe — I am worried about you.),possible_typo,hochhhe: Likely typo; consider 'hocche' / 'hochchhe' for হচ্ছে
চিন্তা,chinta,thought / worry,abstract,noun,তোমার জন্য চিন্তা হচ্ছে। (tomar jonno chinta hochhhe — I am worried about you.),possible_typo,hochhhe: Likely typo; consider 'hocche' / 'hochchhe' for হচ্ছে
সুতরাং,shutôrang,therefore,grammar,conjunction,"বৃষ্টি হচ্ছে, সুতরাং যাবো না। (brishti hochhhe, shutôrang jabo na — It is raining, therefore I will not go.)",possible_typo,hochhhe: Likely typo; consider 'hocche' / 'hochchhe' for হচ্ছে
ব্যথা,byatha,pain,health,noun,পায়ে ব্যথা হচ্ছে। (paye byatha hochhhe — There is pain in my leg.),possible_typo,hochhhe: Likely typo; consider 'hocche' / 'hochchhe' for হচ্ছে
নেটওয়ার্ক,network,network,technology,noun,নেটওয়ার্ক সমস্যা হচ্ছে। (network shomoshha hochhhe — There is a network problem.),possible_typo,hochhhe: Likely typo; consider 'hocche' / 'hochchhe' for হচ্ছে
ধীরে,dhire,slowly,adverbs,adverb,ধীরে ধীরে সুস্থ হচ্ছে। (dhire dhire shushto hochhhe — She is recovering slowly.),possible_typo,hochhhe: Likely typo; consider 'hocche' / 'hochchhe' for হচ্ছে
যেন,jeno,as if / so that,grammar,conjunction,মনে হচ্ছে যেন স্বপ্ন দেখছি। (mone hochhhe jeno shopno dekhchhi — It feels as if I am dreaming.),possible_typo,hochhhe: Likely typo; consider 'hocche' / 'hochchhe' for হচ্ছে
