lemma,roman,english,example_bengali,example_full,flag_reasons,corrected_example,notes
করে,kore,does / makes,সে প্রতিদিন কাজ করে।,সে প্রতিদিন কাজ করে। (se protidine kaj kore — She does work every day.),has_subject_pronoun+ends_with_lemma,,
করা,kora,to do / to make,তুমি কী করা?,তুমি কী করা? (tumi ki kora — What are you doing?),has_subject_pronoun+ends_with_lemma,,
করতে,korte,to do / to make,আমি পড়তে চাই।,আমি পড়তে চাই। (ami porte chai — I want to read.),has_subject_pronoun,,
হবে,hobe,will be / shall be,আগামীকাল ছুটির দিন হবে।,আগামীকাল ছুটির দিন হবে। (agamical chutir din hobe — Tomorrow will be a holiday.),ends_with_lemma,,
হয়েছে,hoyechhe,has happened / has been,অনেক কিছু পরিবর্তন হয়েছে।,অনেক কিছু পরিবর্তন হয়েছে। (onek kichu pariborten hoyechhe — Many things have changed.),ends_with_lemma,,
হয়ে,hoye,becoming / by,সে একজন ডাক্তার হয়ে গেছে।,সে একজন ডাক্তার হয়ে গেছে। (she ekjon daktar hoye gechhe — He has become a doctor.),has_subject_pronoun,,
ছিল,chhil,was / were,আমরা গতকাল ঘরে ছিলাম।,আমরা গতকাল ঘরে ছিলাম। (amra gotkal ghore chhilam — We were home yesterday.),has_subject_pronoun,,
যায়,jay,goes / goes away,প্রতিদিন সকালে আমি স্কুলে যাই।,প্রতিদিন সকালে আমি স্কুলে যাই। (protidine sakale ami schoole jai — I go to school every morning.),has_subject_pronoun,,
হচ্ছে,hchhche,is happening / is being,বৃষ্টি হচ্ছে।,বৃষ্টি হচ্ছে। (brishti hchhche — It is raining.),ends_with_lemma,,
করেন,koren,do / make (formal),আপনি কী করেন?,আপনি কী করেন? (apni ki koren — What do you do?),has_subject_pronoun+ends_with_lemma,,
আছে,ache,is / are / have,আমাদের একটি বাগান আছে।,আমাদের একটি বাগান আছে। (amader ekti bagan ache — We have a garden.),ends_with_lemma,,
পারে,pare,can / is able to,আমি এটি করতে পারি।,আমি এটি করতে পারি। (ami eți korte pari — I can do this.),has_subject_pronoun,,
নেই,nei,is not / are not,আমার কাছে টাকা নেই।,আমার কাছে টাকা নেই। (amar kachhe taka nei — I don't have money.),ends_with_lemma,,
শুরু,shuru,start / beginning,তিনি কাজ শুরু করেছেন।,তিনি কাজ শুরু করেছেন। (tini kaj shuru korchhen — He has started working.),has_subject_pronoun,,
বলে,bole,says / told / means,সে কী বলে?,সে কী বলে? (she ki bole — What does she say?),has_subject_pronoun+ends_with_lemma,,
রয়েছে,royche,is / exists / is there,এখানে অনেক ফুল রয়েছে।,এখানে অনেক ফুল রয়েছে। (ekhane onek phul royche — There are many flowers here.),ends_with_lemma,,
করেছে,korechhe,has done / has made,আমি কাজ করেছি।,আমি কাজ করেছি। (ami kaj korechhi — I have done the work.),has_subject_pronoun,,
করেছেন,korechen,have done / have made (formal),আপনি কী করেছেন?,আপনি কী করেছেন? (apni ki korechen — What have you done?),has_subject_pronoun+ends_with_lemma,,
দেখা,dekha,to see / to look,আমি তোমাকে দেখা।,আমি তোমাকে দেখা। (ami tomake dekha — I see you.),has_subject_pronoun+ends_with_lemma,,
গেছে,gechhe,has gone / went,সে বাড়িতে গেছে।,সে বাড়িতে গেছে। (she bariте gechhe — She has gone home.),has_subject_pronoun+ends_with_lemma,,
থাকে,thake,stays / remains / keeps,আমি ঘরে থাকি।,আমি ঘরে থাকি। (ami ghore thaki — I stay at home.),has_subject_pronoun,,
